comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.1014580901615529,0.0183979442757051,-0.11006859313109378,-0.09284758719201201,6.847307815563363e-16,2.7389231262253453e-15,-5.514642757970008,cohens_dz_paired
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.0652026270308164,0.025388873603374006,-0.07708498563996985,-0.05332026842166295,5.413924633175327e-10,1.0827849266350654e-09,-2.5681575342575034,cohens_dz_paired
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.019990019547568467,0.01958748834312314,0.010822792817404595,0.029157246277732342,0.00021204628879221664,0.00021204628879221664,1.0205504247095902,cohens_dz_paired
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.06439470960696896,0.03563658348180379,0.04771627514189864,0.08107314407203928,1.4423760459813953e-07,1.9231680613085272e-07,1.8069832547177032,cohens_dz_paired
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.007547169811320753,0.003871616422962845,0.005735197549242185,0.009359142073399322,6.334248366623973e-05,0.00019002745099871917,1.9493588689617927,cohens_dz_descriptive_under_non_normal
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0028301886792452824,0.004435493830015349,0.0007543136672114327,0.004906063691279132,0.014305878435429648,0.021458817653144474,0.6380774695464942,cohens_dz_descriptive_under_non_normal
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.04550026389635839,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.11854862119013068,0.011697074429241902,-0.12402302053598195,-0.11307422184427941,7.915615363604911e-21,7.915615363604911e-21,-10.134895003640146,cohens_dz_paired
CMP-ABL-ADP-ED-MAIN-BASE-fixed-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.12280669016518075,0.009588604515645084,-0.12729429521596575,-0.11831908511439576,9.564640356973189e-23,1.9129280713946377e-22,-12.807566519695884,cohens_dz_paired
