comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_evolution,R.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0050030614628480685,0.010759855734428897,-3.27060318646398e-05,0.010038828957560777,0.0663160312989308,0.08842137506524106,0.46497477162630535,cohens_dz_descriptive_under_non_normal
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_self_organization,R.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.006608556562638252,0.010740304469634185,0.0015819393415131989,0.011635173783763305,0.017960477526078766,0.03592095505215753,0.6153043967535996,cohens_dz_descriptive_under_non_normal
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_Rc,R.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.04476332990848198,0.02201453750364557,-0.05506645061085973,-0.034460209206104236,2.3774915752251806e-08,9.509966300900722e-08,-2.0333531831440586,cohens_dz_paired
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_Rr,R.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.011402762350817514,0.03556413643761585,-0.02804729055550533,0.005241765853870303,0.21616744995117188,0.21616744995117188,-0.3206253122670208,cohens_dz_descriptive_under_non_normal
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_evolution,lcc_ratio.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_self_organization,lcc_ratio.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_Rc,lcc_ratio.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_Rr,lcc_ratio.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.0018867924528301883,0.003871616422962845,-0.0036987647149087565,-7.482019075161976e-05,0.04550026389635839,0.04550026389635839,-0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_evolution,avg_path_len.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.015920934411500477,0.1847537698640463,-0.10238836034826454,0.07054649152526357,0.5146697234497355,0.5146697234497355,-0.08617379998912134,cohens_dz_descriptive_under_non_normal
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_self_organization,avg_path_len.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.12387241689128478,0.17525695119897736,0.04184963890493057,0.205895194877639,0.017960477526078766,0.023947303368105022,0.7068045863165032,cohens_dz_descriptive_under_non_normal
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_Rc,avg_path_len.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.42632524707996405,0.28797021162132613,-0.5610994547385376,-0.2915510394213905,2.4645181485296112e-06,9.858072594118445e-06,-1.4804491224271885,cohens_dz_paired
CMP-ABL-COMP-ED-MAIN-BASE-FULL-vs-wo_Rr,avg_path_len.paired_delta_full_minus_variant,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.1739771235054254,0.17598260223024184,-0.2563395166284449,-0.09161473038240595,0.002712249755859375,0.00542449951171875,-0.9886041080231748,cohens_dz_descriptive_under_non_normal
