comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-NETEM-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.11017087348829624,0.029562927430290063,-0.1240067494216186,-0.09633499755497388,1.9073486328125e-06,5.7220458984375e-06,-3.726656426298824,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-NETEM,one_sample_t_delta_vs_0,20,-0.060498029038918696,0.032983297163750896,-0.0759346872827834,-0.045061370795054,1.1532286667827873e-07,4.612914667131149e-07,-1.8342019822507882,cohens_dz_paired
CMP-ED-MAIN-NETEM-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-NETEM,one_sample_t_delta_vs_0,20,0.006546180045888766,0.014106179139790724,-5.571501107344296e-05,0.013148075102850976,0.05177472414982291,0.05177472414982291,0.46406471809388095,cohens_dz_paired
CMP-ED-MAIN-NETEM-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.0630899414009608,0.027494431202702164,0.05022215150177483,0.07595773130014677,3.814697265625e-06,7.62939453125e-06,2.2946443567365122,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.006603773584905659,0.004435493830015349,0.00452789857287181,0.008679648596939508,0.0001828106329818348,0.0005484318989455045,1.48884742894182,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.0023584905660377353,0.004191147719993577,0.0003969730536467417,0.004320008078428729,0.025347318677468252,0.050694637354936505,0.5627314338711378,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.0014150943396226412,0.0034561089484200303,-0.0002024144383947319,0.003032603117640014,0.0832645166635504,0.0832645166635504,0.40944726012458477,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.12040690441633839,0.02993557808069254,-0.13441718622261087,-0.10639662261006591,3.814697265625e-06,1.52587890625e-05,-4.022200743602705,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.12152533001589608,0.02925682271354285,-0.13521794453190766,-0.10783271549988449,0.0001027725553214571,0.0002055451106429142,-4.153743255231968,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.1241685672817748,0.02983035300324568,-0.1381296022358855,-0.11020753232766412,0.00010291581390073258,0.0002055451106429142,-4.162490710997107,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.12422593130140298,0.029614714904983613,-0.13808604451895404,-0.11036581808385193,3.814697265625e-06,1.52587890625e-05,-4.1947366942404045,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.13718490503007766,0.01883046620198106,-0.14599783449220818,-0.12837197556794713,1.9073486328125e-06,5.7220458984375e-06,-7.285263336477835,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-NETEM,one_sample_t_delta_vs_0,20,-0.06830198699847449,0.033170261055037294,-0.08382614703694155,-0.052777826960007435,1.9520244872803773e-08,7.808097949121509e-08,-2.0591332363994774,cohens_dz_paired
CMP-ED-MAIN-NETEM-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.06577361416159455,0.022127168255270765,-0.07612944767833879,-0.05541778064485031,1.9073486328125e-06,5.7220458984375e-06,-2.9725274107737243,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.06305338761684369,0.02758382860690289,0.05014375844459523,0.07596301678909215,3.814697265625e-06,5.7220458984375e-06,2.2858823738871585,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.008490566037735847,0.0029037123172221337,0.007131586841176921,0.009849545234294774,2.209049699858536e-05,8.836198799434144e-05,2.924038303442689,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.0023584905660377353,0.004191147719993577,0.0003969730536467417,0.004320008078428729,0.025347318677468252,0.07604195603240475,0.5627314338711378,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.00047169811320754707,0.0021094980919809333,-0.0014589736105699567,0.0005155773841548626,0.31731050786291415,0.31731050786291415,-0.22360679774997896,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,0.0014150943396226412,0.0034561089484200303,-0.0002024144383947319,0.003032603117640014,0.0832645166635504,0.1665290333271008,0.40944726012458477,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.11616732324279495,0.03028331762698971,-0.13034035216641643,-0.10199429431917348,3.814697265625e-06,1.52587890625e-05,-3.836017066348832,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.12150787891353929,0.03142316231871238,-0.13621437157396823,-0.10680138625311032,0.0001032027839634719,0.00017639740408388906,-3.8668252953389666,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.12879950238440802,0.028826365102980738,-0.14229065653732342,-0.1153083482314926,8.819870204194453e-05,0.00017639740408388906,-4.468114586222657,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-NETEM,wilcoxon_signed_rank_delta_vs_0,20,-0.12421677379224547,0.029655448376657546,-0.13809595086136342,-0.11033759672312751,3.814697265625e-06,1.52587890625e-05,-4.188666184188238,cohens_dz_descriptive_under_non_normal
