comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.031156280515242142,0.019404475498573024,-0.04023785459759667,-0.022074706432887614,8.025174714164085e-07,1.605034942832817e-06,-1.6056234304056982,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.02832143650213867,0.013906953388741199,-0.034830091037479874,-0.02181278196679747,2.3208457194659287e-08,6.962537158397786e-08,-2.0364946735973932,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.020807795585265215,0.004875571692255562,0.018525957793756466,0.023089633376773964,7.440697360819819e-14,2.9762789443279277e-13,4.267765279365425,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.016433802429166915,0.021330904387927414,0.0064506318736510075,0.026416972984682822,0.000850677490234375,0.000850677490234375,0.770422206686553,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.10705076370170712,0.010254558306067293,-0.11185004472041965,-0.10225148268299458,4.5324947091128704e-21,1.8129978836451482e-20,-10.439334440993779,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.1067542677448338,0.010346558299818131,-0.11159660608601228,-0.10191192940365533,5.650918659475068e-21,1.8129978836451482e-20,-10.317853014630991,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.10853583523394846,0.011219880345324286,-0.11378690087386792,-0.10328476959402899,8.832385863081277e-05,8.832385863081277e-05,-9.673528762646663,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.10970264012716843,0.011124723733165406,-0.11490917110173143,-0.10449610915260543,1.3255466195890235e-20,2.651093239178047e-20,-9.86115635394335,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.17163278486082087,0.04028615675850458,-0.19048728660309222,-0.15277828311854952,1.9073486328125e-06,7.62939453125e-06,-4.260341483792406,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.11624587097855535,0.043661262457161315,-0.13667997081098804,-0.09581177114612267,1.9073486328125e-06,7.62939453125e-06,-2.662448688757251,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.10366705838591958,0.04131512859200559,-0.12300313377006973,-0.08433098300176943,1.9073486328125e-06,7.62939453125e-06,-2.5091791292640195,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.016433802429166915,0.021330904387927414,0.0064506318736510075,0.026416972984682822,0.000850677490234375,0.000850677490234375,0.770422206686553,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.009433962264150941,0.0,0.009433962264150941,0.009433962264150941,0.0,0.0,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0033018867924528295,0.004616608348392385,0.0011412475766067222,0.005462526008298937,0.0081509715935027,0.0163019431870054,0.7152191702817127,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.04550026389635839,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.1014693482618012,0.01046288929445004,-0.10636613118438057,-0.09657256533922184,1.9073486328125e-06,1.9073486328125e-06,-9.698023691756429,cohens_dz_descriptive_under_non_normal
