comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-LINK-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.0036221310810289732,0.1299450562119486,-0.05719402726920924,0.06443828943126718,0.001209259033203125,0.00241851806640625,0.02787432770909767,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.005411020348123363,0.12888196974407262,-0.054907598219878825,0.06572963891612556,0.0007076263427734375,0.0021228790283203125,0.04198430826956088,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.04891809208437688,0.11811784691490872,-0.0063627619271030625,0.10419894609585681,1.9073486328125e-06,7.62939453125e-06,0.41414649320197255,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.04456843133884088,0.12052447238715898,-0.011838758064509333,0.10097562074219109,0.0014324188232421875,0.00241851806640625,0.3697874004847278,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.053301886792452846,0.22065825560366586,-0.04996935572555174,0.15657312931045742,0.003892417122778628,0.015569668491114512,0.24155854330775978,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.053301886792452846,0.22065825560366586,-0.04996935572555174,0.15657312931045742,0.003892417122778628,0.015569668491114512,0.24155854330775978,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.053301886792452846,0.22065825560366586,-0.04996935572555174,0.15657312931045742,0.003892417122778628,0.015569668491114512,0.24155854330775978,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.053301886792452846,0.22065825560366586,-0.04996935572555174,0.15657312931045742,0.003892417122778628,0.015569668491114512,0.24155854330775978,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.0340750915750916,0.3708635221704427,-0.20764456276649207,0.13949437961630884,0.0007076263427734375,0.00283050537109375,-0.09188040758409034,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.03385945815191101,0.3708055429859053,-0.20740179424967548,0.1396828779458535,0.0007076263427734375,0.00283050537109375,-0.09131324704387722,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.03618460156196007,0.3713653360556735,-0.20998892888099008,0.13761972575706993,0.0007076263427734375,0.00283050537109375,-0.09743666963180277,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.03690804478540329,0.37157435411184214,-0.21081019556592212,0.13699410599511552,0.0007076263427734375,0.00283050537109375,-0.09932882712969514,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.11522005268257655,0.16393075524566955,-0.1919420077928477,-0.03849809757230539,0.0007076263427734375,0.00283050537109375,-0.70285806046526,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.05679831523367853,0.14944274433556407,-0.12673967251765136,0.013143042050294297,0.0007076263427734375,0.00283050537109375,-0.3800673996332774,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.05066208532949521,0.14972627403517805,-0.12073613859753529,0.019411967938544876,0.0007076263427734375,0.00283050537109375,-0.3383646968840766,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.04456843133884088,0.12052447238715898,-0.011838758064509333,0.10097562074219109,0.0014324188232421875,0.00283050537109375,0.3697874004847278,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.05849056603773586,0.21938780156601712,-0.04418608568795477,0.1611672177634265,1.1933310815418253e-05,4.773324326167301e-05,0.2666081050095903,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.0537735849056604,0.2205483719754714,-0.049446230491319486,0.15699340030264028,0.0022819372533154484,0.006845811759946346,0.24381764609734188,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.049528301886792456,0.22149729965799805,-0.05413562533626058,0.15319222910984548,0.31731050786291415,0.31731050786291415,0.22360679774997896,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,0.053301886792452846,0.22065825560366586,-0.04996935572555174,0.15657312931045742,0.003892417122778628,0.007784834245557256,0.24155854330775978,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.030262803234501402,0.3698763402603448,-0.2033702590702189,0.14284465260121612,0.0007076263427734375,0.00283050537109375,-0.08181870517373543,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.03512440389798882,0.3712021153389349,-0.20885234157015897,0.13860353377418133,0.0007076263427734375,0.00283050537109375,-0.09462339368922414,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.04471698113207549,0.37329508194333266,-0.21942445732725957,0.1299904950631086,0.0007076263427734375,0.00283050537109375,-0.11978990159549883,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-LINK,wilcoxon_signed_rank_delta_vs_0,20,-0.03690804478540329,0.37157435411184214,-0.21081019556592212,0.13699410599511552,0.0007076263427734375,0.00283050537109375,-0.09932882712969514,cohens_dz_descriptive_under_non_normal
