comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.03010554873749287,0.0185605477507628,-0.038792152475894695,-0.021418944999091045,6.950153210219592e-07,1.3900306420439185e-06,-1.6220183338207568,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.027699244618556773,0.013392885505269262,-0.033967307978555315,-0.021431181258558234,1.8218606305183916e-08,5.4655818915551743e-08,-2.0682058849572673,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.020772659752659982,0.0052519877575447176,0.018314653819788005,0.02323066568553196,2.933209370258929e-13,1.1732837481035717e-12,3.955199576164114,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.016396789323024123,0.02132918004198193,0.006414425786252353,0.026379152859795894,0.000850677490234375,0.000850677490234375,0.7687491638567703,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.18200105558543356,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.10704177897574127,0.010460402957887461,-0.11193739825699014,-0.1021461596944924,6.601534048577116e-21,2.6406136194308463e-20,-10.233045457873926,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.10685309973045824,0.010521460951939975,-0.1117772950325508,-0.10192890442836569,7.615310658950867e-21,2.6406136194308463e-20,-10.155728393475279,cohens_dz_paired
