comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.11456969678337318,0.023545821784140372,-0.13927952133428934,-0.08985987223245702,7.327169160786352e-05,0.0002930867664314541,-4.865818565761135,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.06780483030951763,0.031565945387758455,-0.10093125840644163,-0.034678402212593634,0.003294530230530327,0.0051425567445610885,-2.1480373699123527,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.0026342968905105346,0.0115666436450329,-0.009504151184563388,0.014772744965584457,0.6009874382630578,0.6009874382630578,0.22774946400650883,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.05598693420774523,0.027032669094132527,0.027617887818847865,0.0843559805966426,0.003856917558420816,0.0051425567445610885,2.071084213430381,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.007861635220125784,0.0038513989666402165,0.0038198398810749754,0.011903430559176593,0.0625,0.1875,2.041241452319315,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.12852880871748806,0.010485178064602373,-0.1395323282691374,-0.11752528916583874,0.03125,0.03125,-12.25814267774786,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.13219296426843605,0.007403849560578063,-0.13996282786973488,-0.1244231006671372,1.1796204605573425e-07,2.359240921114685e-07,-17.85462591950814,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.13545971847858643,0.012708565900300296,-0.14879654046632837,-0.1221228964908445,0.03125,0.03125,-10.65893032630736,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-full_default-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.13316803741332048,0.007216147770153324,-0.1407409200660753,-0.12559515476056565,1.000410615328439e-07,2.359240921114685e-07,-18.45417273245376,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.11711907385518533,0.02446379649956642,-0.14279225378899296,-0.0914458939213777,7.92778462446922e-05,0.0003171113849787688,-4.78744473930124,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.07035420738132979,0.029937335416728505,-0.10177151413116498,-0.038936900631494596,0.0022205407318205118,0.0044410814636410235,-2.3500490742411557,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,8.491981869838498e-05,0.00859583780591373,-0.008935858729592787,0.009105698366989556,0.9816299869481344,0.9816299869481344,0.009879178809069918,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.05343755713593309,0.024997824191461838,0.027203949509559015,0.07967116476230716,0.0033642831003317213,0.004485710800442295,2.1376883334584384,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.007861635220125784,0.0038513989666402165,0.0038198398810749754,0.011903430559176593,0.0625,0.1875,2.041241452319315,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.12990646669891956,0.010207025487407848,-0.14061808302273204,-0.11919485037510708,0.03125,0.03125,-12.727161978696136,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.13357062224986752,0.007044952845140149,-0.1409638468469442,-0.12617739765279082,8.741912610843924e-08,1.7483825221687848e-07,-18.959761007060415,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.13683737646001792,0.012095323390434145,-0.14953063990200705,-0.1241441130180288,0.03125,0.03125,-11.313246619618191,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-stability_first-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.13454569539475195,0.006798608217177026,-0.14168039715954722,-0.12741099362995667,7.058276460405716e-08,1.7483825221687848e-07,-19.790182210355272,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.07795071808871555,0.014271763444011725,-0.09292801529102611,-0.062973420886405,4.1740944827643075e-05,0.0001669637793105723,-5.461884117860909,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.03118585161486,0.02263076401162007,-0.054935381926729525,-0.007436321302990476,0.019771528142162084,0.02636203752288278,-1.3780291111182639,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.03925327558516817,0.014431495016080756,0.02410835037831175,0.054398200792024586,0.001149747933569013,0.002299495867138026,2.7199729162799104,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.09260591290240287,0.035200000850155524,0.05566577748588071,0.12954604831892502,0.03125,0.03125,2.630849734823052,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.007861635220125784,0.0038513989666402165,0.0038198398810749754,0.011903430559176593,0.0625,0.1875,2.041241452319315,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.12658211809155215,0.010496530892624218,-0.13759755170554122,-0.11556668447756309,0.03125,0.03125,-12.059424145600318,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.1302462736425001,0.006766359448141558,-0.1373471323997268,-0.12314541488527343,8.105573906679461e-08,3.2422295626717844e-07,-19.249091722177635,cohens_dz_paired
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.1335130278526505,0.01251066229203991,-0.14664216274061997,-0.12038389296468105,0.03125,0.03125,-10.671939241585964,cohens_dz_descriptive_under_non_normal
CMP-ABL-PROFILE-ED-MAIN-BASE-connectivity_bias-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.13122134678738454,0.00648703356431019,-0.13802907100697312,-0.12441362256779594,0.03125,0.03125,-20.22825155543005,cohens_dz_descriptive_under_non_normal
