comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.12387884925714278,0.024716019444001903,-0.14981672093804052,-0.09794097757624505,6.345213014371013e-05,0.0002538085205748405,-5.012087384775293,cohens_dz_paired
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.07711398278328724,0.02806466614971788,-0.1065660436625836,-0.047661921903990885,0.0010976430203613868,0.0021952860407227735,-2.74772492827471,cohens_dz_paired
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.006674855583259069,0.00943622692309981,-0.016577568422506034,0.0032278572559878973,0.14369367077379627,0.14369367077379627,-0.7073648861621877,cohens_dz_paired
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.04667778173397563,0.026905483267160454,0.018442208684792398,0.07491335478315886,0.008095131135823564,0.010793508181098086,1.7348798856532082,cohens_dz_paired
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.007861635220125784,0.0038513989666402165,0.0038198398810749754,0.011903430559176593,0.0625,0.1875,2.041241452319315,cohens_dz_descriptive_under_non_normal
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,0.0031446540880503138,0.004871677165040775,-0.001967857555010907,0.008257165731111534,0.5,0.5,0.6454972243679028,cohens_dz_descriptive_under_non_normal
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,6,-0.12460547837906333,0.010062710012190288,-0.13516564489979396,-0.11404531185833268,0.03125,0.03125,-12.382894690208929,cohens_dz_descriptive_under_non_normal
CMP-ABL-WAUTO-ED-MAIN-BASE-fixed_default-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,6,-0.1282696339300113,0.006414728832509576,-0.13500147898711523,-0.1215377888729074,6.702863209204745e-08,1.340572641840949e-07,-19.99611164854642,cohens_dz_paired
