timestamp_utc,experiment_id,run_id,phase,sample_idx,attack_label,attack_strength,injection_active,delay_ms,loss_pct,jitter_ms,bandwidth_mbit,nodes_down_registered,wan_netem_links_active
2026-04-23T03:14:01.212478+00:00,ED-MAIN-LINK-low,run-008,pre_attack,0,link_down,low,0,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",6
2026-04-23T03:14:32.459147+00:00,ED-MAIN-LINK-low,run-008,pre_attack,1,link_down,low,0,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
2026-04-23T03:15:03.683030+00:00,ED-MAIN-LINK-low,run-008,pre_attack,2,link_down,low,0,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
2026-04-23T03:17:01.208725+00:00,ED-MAIN-LINK-low,run-008,attack_ramp,3,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
2026-04-23T03:17:32.622715+00:00,ED-MAIN-LINK-low,run-008,attack_ramp,4,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",6
2026-04-23T03:18:04.261128+00:00,ED-MAIN-LINK-low,run-008,attack_ramp,5,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",6
2026-04-23T03:18:35.833924+00:00,ED-MAIN-LINK-low,run-008,attack_ramp,6,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
2026-04-23T03:19:07.230390+00:00,ED-MAIN-LINK-low,run-008,attack_ramp,7,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
2026-04-23T03:19:39.076801+00:00,ED-MAIN-LINK-low,run-008,under_attack,8,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
2026-04-23T03:20:10.761779+00:00,ED-MAIN-LINK-low,run-008,under_attack,9,link_down,low,1,,,,,"[""as101h-Ethereum-POS-3-10.101.0.73"", ""as101h-Ethereum-POS-4-10.101.1.71"", ""as101h-Ethereum-POS-5-10.101.1.72"", ""as101h-Ethereum-POS-6-10.101.1.73"", ""as101h-Ethereum-POS-7-10.101.2.71""]",0
