timestamp_utc,experiment_id,run_id,phase,sample_idx,attack_label,attack_strength,injection_active,delay_ms,loss_pct,jitter_ms,bandwidth_mbit,nodes_down_registered,wan_netem_links_active
2026-04-20T02:13:20.082877+00:00,ED-MAIN-NETEM,run-014,pre_attack,0,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:14:15.716342+00:00,ED-MAIN-NETEM,run-014,pre_attack,1,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:15:12.215111+00:00,ED-MAIN-NETEM,run-014,pre_attack,2,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:16:32.160899+00:00,ED-MAIN-NETEM,run-014,attack_ramp,3,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:17:28.625177+00:00,ED-MAIN-NETEM,run-014,attack_ramp,4,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:18:25.843584+00:00,ED-MAIN-NETEM,run-014,attack_ramp,5,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,2
2026-04-20T02:19:21.887644+00:00,ED-MAIN-NETEM,run-014,attack_ramp,6,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,2
2026-04-20T02:20:18.814688+00:00,ED-MAIN-NETEM,run-014,attack_ramp,7,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:21:12.444245+00:00,ED-MAIN-NETEM,run-014,under_attack,8,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:22:06.076956+00:00,ED-MAIN-NETEM,run-014,under_attack,9,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,2
2026-04-20T02:22:59.682356+00:00,ED-MAIN-NETEM,run-014,under_attack,10,tc_netem,mid,1,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:23:54.525918+00:00,ED-MAIN-NETEM,run-014,recovery,11,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:24:49.172525+00:00,ED-MAIN-NETEM,run-014,recovery,12,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,2
2026-04-20T02:25:44.638300+00:00,ED-MAIN-NETEM,run-014,recovery,13,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:26:39.125467+00:00,ED-MAIN-NETEM,run-014,recovery,14,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:27:35.728003+00:00,ED-MAIN-NETEM,run-014,recovery,15,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:28:30.332014+00:00,ED-MAIN-NETEM,run-014,post_recovery,16,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:29:24.923593+00:00,ED-MAIN-NETEM,run-014,post_recovery,17,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
2026-04-20T02:30:19.098911+00:00,ED-MAIN-NETEM,run-014,post_recovery,18,tc_netem,mid,0,150,5.0,30,20,as101brd-router0-10.101.0.254,1
