comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-BTC-MAIN-BASE-OUR-M-RESI,R.paired_delta,fair,BTC-MAIN-BASE,wilcoxon,10,0.11392361727752538,0.011986145132667882,0.10534924558090475,0.12249798897414602,0.001953125,0.001953125,9.504608530646767,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-STAT,R.paired_delta,fair,BTC-MAIN-BASE,one_sample_t,10,0.13782478022052633,0.026337505807150188,0.11898406355533896,0.15666549688571368,4.7932757650295644e-08,9.586551530059129e-08,5.233023249419055,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-ASIM,R.paired_delta,fair,BTC-MAIN-BASE,one_sample_t,10,0.15724880150349263,0.015766072577795776,0.1459704326049317,0.16852717040205356,1.5888901706759725e-10,4.766670512027918e-10,9.973872740187353,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-FPS,R.paired_delta,fair,BTC-MAIN-BASE,one_sample_t,10,0.21084514239155588,0.019485583657383673,0.19690599555537736,0.2247842892277344,7.673861864028653e-11,3.0695447456114614e-10,10.820571048774324,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,fair,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,fair,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,fair,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,fair,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,fair,BTC-MAIN-BASE,one_sample_t,10,-0.9342678725236864,0.07187074596555737,-0.9856811069874111,-0.8828546380599617,1.486482096050351e-11,5.945928384201404e-11,-12.999278913445753,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,fair,BTC-MAIN-BASE,one_sample_t,10,-0.9727605512489232,0.09030550390300414,-1.0373612171130981,-0.9081598853847485,7.989456663164924e-11,2.3968369989494774e-10,-10.771885535279793,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,fair,BTC-MAIN-BASE,wilcoxon,10,-1.169702842377261,0.07742934619637683,-1.2250924599036326,-1.1143132248508896,0.001953125,0.001953125,-15.106712116755485,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,fair,BTC-MAIN-BASE,one_sample_t,10,-2.0475710594315246,0.2497817611481493,-2.226254167254368,-1.868887951608681,9.122775608325152e-10,1.8245551216650303e-09,-8.197440237508292,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-RESI,R.paired_delta,raw,BTC-MAIN-BASE,wilcoxon,10,0.11392361727752538,0.011986145132667882,0.10534924558090475,0.12249798897414602,0.001953125,0.001953125,9.504608530646767,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-STAT,R.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,0.13782478022052633,0.026337505807150188,0.11898406355533896,0.15666549688571368,4.7932757650295644e-08,9.586551530059129e-08,5.233023249419055,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-ASIM,R.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,0.16161517892104268,0.011870116551985313,0.15312380907090328,0.1701065487711821,9.817960366306961e-12,3.9271841465227845e-11,13.61529840193625,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-FPS,R.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,0.21084514239155588,0.019485583657383673,0.19690599555537736,0.2247842892277344,7.673861864028653e-11,2.302158559208596e-10,10.820571048774324,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,raw,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,raw,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,raw,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,raw,BTC-MAIN-BASE,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-BTC-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,-0.9342678725236864,0.07187074596555737,-0.9856811069874111,-0.8828546380599617,1.486482096050351e-11,4.4594462881510535e-11,-12.999278913445753,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,-0.9727605512489232,0.09030550390300414,-1.0373612171130981,-0.9081598853847485,7.989456663164924e-11,1.5978913326329847e-10,-10.771885535279793,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,-1.193940568475452,0.05231121433318926,-1.2313617569084105,-1.1565193800424935,9.51289608763382e-14,3.805158435053528e-13,-22.823797606203666,cohens_dz
CMP-BTC-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,raw,BTC-MAIN-BASE,one_sample_t,10,-2.0475710594315246,0.2497817611481493,-2.226254167254368,-1.868887951608681,9.122775608325152e-10,9.122775608325152e-10,-8.197440237508292,cohens_dz
