comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-RESI,R.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.10078165603075626,0.019362152114864178,0.08693080680093365,0.11463250526057886,5.022812452413423e-08,5.022812452413423e-08,5.205085438482168,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-STAT,R.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.11501312817048455,0.01630495677566451,0.10334926473945977,0.12667699160150933,3.4607337130275887e-09,1.0382201139082766e-08,7.053875073262632,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-ASIM,R.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.13829979396225436,0.022898218731747084,0.12191939505807226,0.15468019286643647,1.3626469210871989e-08,2.7252938421743977e-08,6.039762113483069,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-FPS,R.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.20075710584572234,0.024258018338577166,0.18340396490205813,0.21811024678938656,8.381739428983076e-10,3.3526957715932303e-09,8.275907085388805,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-RESI,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.0033321390872878332,0.005093005385940319,-0.0003111774876903644,0.00697545566226603,0.125,0.5,0.6542579154709891,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-STAT,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.0009615606869611493,0.0020271772038697625,-0.0004885945254533873,0.002411715899375686,0.5,0.5,0.4743347967437609,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-ASIM,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.0038106079868093557,0.005904224056033348,-0.00041301946607222783,0.008034235439690939,0.125,0.5,0.6454036890614628,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-FPS,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.07712421699835888,0.1430678899513857,-0.025220386101015943,0.17946882009773368,0.125,0.5,0.5390742606504199,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-RESI,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,-0.965422608558729,0.10621738836228337,-1.0414059508578566,-0.8894392662596015,3.6384967553163093e-10,1.0915490265948929e-09,-9.08912018497284,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-STAT,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,-1.0503380879908122,0.09065410140952158,-1.1151881254886784,-0.985488050492946,4.16412444879738e-11,1.665649779518952e-10,-11.586216968231875,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-ASIM,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,-1.2789549545264782,0.16424601777269685,-1.3964494776183574,-1.161460431434599,1.4402814636566609e-09,2.8805629273133218e-09,-7.786824739315434,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-FPS,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-high,one_sample_t,10,-2.054288845421778,0.586362426305004,-2.4737472564807774,-1.6348304343627784,1.5157621147202208e-06,1.5157621147202208e-06,-3.5034455709704924,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-RESI,R.paired_delta,raw,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.10078165603075626,0.019362152114864178,0.08693080680093365,0.11463250526057886,5.022812452413423e-08,5.022812452413423e-08,5.205085438482168,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-STAT,R.paired_delta,raw,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.11501312817048455,0.01630495677566451,0.10334926473945977,0.12667699160150933,3.4607337130275887e-09,1.0382201139082766e-08,7.053875073262632,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-ASIM,R.paired_delta,raw,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.14987621112799113,0.023756734383712716,0.1328816671232915,0.16687075513269076,9.281614634272638e-09,1.8563229268545277e-08,6.308788434775116,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-FPS,R.paired_delta,raw,BTC-MAIN-ECLIPSE-high,one_sample_t,10,0.20075710584572234,0.024258018338577166,0.18340396490205813,0.21811024678938656,8.381739428983076e-10,3.3526957715932303e-09,8.275907085388805,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-RESI,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.0033321390872878332,0.005093005385940319,-0.0003111774876903644,0.00697545566226603,0.125,0.5,0.6542579154709891,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-STAT,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.0009615606869611493,0.0020271772038697625,-0.0004885945254533873,0.002411715899375686,0.5,0.5,0.4743347967437609,cohens_dz
CMP-BTC-MAIN-ECLIPSE-high-OUR-M-ASIM,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-high,wilcoxon,10,0.007173758947214326,0.012867562953597981,-0.0020311410746542717,0.016378658969082922,0.125,0.5,0.5575071964352368,cohens_dz
