comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-BTC-MAIN-NETEM-low-OUR-M-RESI,R.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,0.1105634515713893,0.013450805049788957,0.10094132528815769,0.12018557785462092,8.904086276550382e-10,2.671225882965115e-09,8.219838973364947,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-STAT,R.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,0.11253963856607234,0.015942375181967026,0.10113515038207689,0.12394412675006779,3.4378967030964237e-09,6.8757934061928474e-09,7.059151304717118,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-ASIM,R.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,0.14208279162816126,0.020844268910769924,0.12717169991293237,0.15699388334339015,4.685844074817591e-09,6.8757934061928474e-09,6.81639601927939,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-FPS,R.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,0.21312414616616243,0.01953144857121112,0.19915218954713568,0.22709610278518919,7.118813311773208e-11,2.847525324709283e-10,10.91184534465622,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-RESI,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-low,wilcoxon,10,0.006000000000000005,0.0128668393770792,-0.0032043824064088844,0.015204382406408895,0.5,1.0,0.46631498413575584,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-STAT,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-low,wilcoxon,10,0.0010000000000000009,0.0021081851067789215,-0.0005081047751988041,0.002508104775198806,0.5,1.0,0.4743416490252569,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-ASIM,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-low,wilcoxon,10,0.0050000000000000044,0.010801234497346443,-0.002726737690685355,0.012726737690685365,0.5,1.0,0.4629100498862757,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-FPS,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-low,wilcoxon,10,0.018999999999999996,0.040124805295477746,-0.00970355656884831,0.0477035565688483,0.5,1.0,0.4735225469652655,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-RESI,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,-0.9664212706283981,0.06590084744917346,-1.0135638969604837,-0.9192786442963126,5.046282408986305e-12,2.018512963594522e-11,-14.664777586870306,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-STAT,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,-1.0514323433784694,0.08595068455588611,-1.1129177591484287,-0.9899469276085101,2.5611160404594633e-11,5.1222320809189266e-11,-12.232972300468603,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-ASIM,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,-1.2364047909511746,0.09266025582511907,-1.302689944864682,-1.1701196370376672,1.176271934279236e-11,3.5288158028377075e-11,-13.343420865194723,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-FPS,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-low,one_sample_t,10,-2.227738721566942,0.23718507352410098,-2.3974107019055677,-2.0580667412283167,2.7154616570799974e-10,2.7154616570799974e-10,-9.392406901779912,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-RESI,R.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,0.1105634515713893,0.013450805049788957,0.10094132528815769,0.12018557785462092,8.904086276550382e-10,1.7808172553100764e-09,8.219838973364947,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-STAT,R.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,0.11253963856607234,0.015942375181967026,0.10113515038207689,0.12394412675006779,3.4378967030964237e-09,3.4378967030964237e-09,7.059151304717118,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-ASIM,R.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,0.15188586261894366,0.0161378734455394,0.14034152340199643,0.16343020183589088,2.66606103667146e-10,7.998183110014379e-10,9.411764389621345,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-FPS,R.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,0.21312414616616243,0.01953144857121112,0.19915218954713568,0.22709610278518919,7.118813311773208e-11,2.847525324709283e-10,10.91184534465622,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-RESI,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-low,wilcoxon,10,0.006000000000000005,0.0128668393770792,-0.0032043824064088844,0.015204382406408895,0.5,1.0,0.46631498413575584,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-STAT,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-low,wilcoxon,10,0.0010000000000000009,0.0021081851067789215,-0.0005081047751988041,0.002508104775198806,0.5,1.0,0.4743416490252569,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-ASIM,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-low,wilcoxon,10,0.005500000000000005,0.01165475582469807,-0.002837310066599588,0.013837310066599598,0.5,1.0,0.4719103585460564,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-FPS,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-low,wilcoxon,10,0.018999999999999996,0.040124805295477746,-0.00970355656884831,0.0477035565688483,0.5,1.0,0.4735225469652655,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-RESI,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,-0.9664212706283981,0.06590084744917346,-1.0135638969604837,-0.9192786442963126,5.046282408986305e-12,1.5138847226958914e-11,-14.664777586870306,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-STAT,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,-1.0514323433784694,0.08595068455588611,-1.1129177591484287,-0.9899469276085101,2.5611160404594633e-11,5.1222320809189266e-11,-12.232972300468603,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-ASIM,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,-1.289678479154736,0.08421509068701961,-1.3499223258646413,-1.2294346324448306,3.421699017711784e-12,1.3686796070847136e-11,-15.31410188641546,cohens_dz
CMP-BTC-MAIN-NETEM-low-OUR-M-FPS,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-low,one_sample_t,10,-2.227738721566942,0.23718507352410098,-2.3974107019055677,-2.0580667412283167,2.7154616570799974e-10,2.7154616570799974e-10,-9.392406901779912,cohens_dz
