comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-BTC-MAIN-NETEM-mid-OUR-M-RESI,R.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,0.11000017541123429,0.01957009363495711,0.09600057377897517,0.12399977704349341,2.563026533511491e-08,5.126053067022982e-08,5.620830306848727,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-STAT,R.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,0.13518342393609756,0.026883338454484085,0.11595224211713563,0.15441460575505947,6.788229148863295e-08,6.788229148863295e-08,5.028520701213329,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-ASIM,R.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,0.15132272951256473,0.014111124559208288,0.14122823910812282,0.16141721991700664,8.31642428061566e-11,2.494927284184698e-10,10.723647777158787,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-FPS,R.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,0.21570295291031064,0.01806533363671005,0.20277979173462596,0.2286261140859953,3.1812584694469283e-11,1.2725033877787713e-10,11.940158828397546,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-RESI,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-mid,wilcoxon,10,0.0050000000000000044,0.01581138830084191,-0.006310785813991028,0.016310785813991036,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-STAT,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-mid,wilcoxon,10,0.0005555555555555536,0.00175682092231576,-0.0007011984237767778,0.001812309534887885,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-ASIM,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-mid,wilcoxon,10,0.0050000000000000044,0.01581138830084191,-0.006310785813991028,0.016310785813991036,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-FPS,lcc_ratio.paired_delta,fair,BTC-MAIN-NETEM-mid,wilcoxon,10,0.01944444444444444,0.06148873228105181,-0.02454194483218731,0.06343083372107619,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-RESI,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,-0.8932400888651364,0.09463047885680832,-0.9609346554306653,-0.8255455222996075,2.597639620549628e-10,5.195279241099256e-10,-9.439243039409718,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-STAT,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,-0.9478071588981574,0.0712563124335571,-0.9987808540915057,-0.896833463704809,1.2100018792216442e-11,4.840007516886577e-11,-13.301378173083817,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-ASIM,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-mid,one_sample_t,10,-1.1092496674551744,0.08810136097444533,-1.1722735844536583,-1.0462257504566905,1.9787546713168867e-11,5.93626401395066e-11,-12.590607627241118,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-FPS,avg_path_len.paired_delta,fair,BTC-MAIN-NETEM-mid,wilcoxon,10,-1.9401051893466312,0.4307967178707099,-2.2482785965449397,-1.6319317821483228,0.001953125,0.001953125,-4.503528250948497,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-RESI,R.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,0.11000017541123429,0.01957009363495711,0.09600057377897517,0.12399977704349341,2.563026533511491e-08,5.126053067022982e-08,5.620830306848727,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-STAT,R.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,0.13518342393609756,0.026883338454484085,0.11595224211713563,0.15441460575505947,6.788229148863295e-08,6.788229148863295e-08,5.028520701213329,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-ASIM,R.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,0.16103143761479544,0.014460887489058048,0.15068674188303297,0.1713761333465579,5.937182874722145e-11,1.7811548624166435e-10,11.135653861952887,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-FPS,R.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,0.21570295291031064,0.01806533363671005,0.20277979173462596,0.2286261140859953,3.1812584694469283e-11,1.2725033877787713e-10,11.940158828397546,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-RESI,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-mid,wilcoxon,10,0.0050000000000000044,0.01581138830084191,-0.006310785813991028,0.016310785813991036,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-STAT,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-mid,wilcoxon,10,0.0005555555555555536,0.00175682092231576,-0.0007011984237767778,0.001812309534887885,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-ASIM,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-mid,wilcoxon,10,0.0050000000000000044,0.01581138830084191,-0.006310785813991028,0.016310785813991036,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-FPS,lcc_ratio.paired_delta,raw,BTC-MAIN-NETEM-mid,wilcoxon,10,0.01944444444444444,0.06148873228105181,-0.02454194483218731,0.06343083372107619,1.0,1.0,0.31622776601683794,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-RESI,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,-0.8932400888651364,0.09463047885680832,-0.9609346554306653,-0.8255455222996075,2.597639620549628e-10,7.792918861648884e-10,-9.439243039409718,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-STAT,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,-0.9478071588981574,0.0712563124335571,-0.9987808540915057,-0.896833463704809,1.2100018792216442e-11,4.840007516886577e-11,-13.301378173083817,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-ASIM,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-mid,one_sample_t,10,-1.157819865560256,0.13736032125157296,-1.256081519973918,-1.0595582111465942,7.120122918045999e-10,1.4240245836091999e-09,-8.429070746272716,cohens_dz
CMP-BTC-MAIN-NETEM-mid-OUR-M-FPS,avg_path_len.paired_delta,raw,BTC-MAIN-NETEM-mid,wilcoxon,10,-1.9401051893466312,0.4307967178707099,-2.2482785965449397,-1.6319317821483228,0.001953125,0.001953125,-4.503528250948497,cohens_dz
