comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-BTC-MAIN-PARTITION-low-OUR-M-RESI,R.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,0.10240079107710952,0.020587312426803322,0.08767351495722008,0.11712806719699896,7.465158339349274e-08,7.465158339349274e-08,4.97397566783853,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-STAT,R.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,0.10998380323693788,0.01623530709184731,0.0983697641882304,0.12159784228564535,4.94933422017579e-09,1.4848002660527369e-08,6.774359278499089,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-ASIM,R.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,0.15143312692518404,0.02395861632611364,0.13429416527879715,0.16857208857157094,9.129598734861619e-09,1.8259197469723237e-08,6.320612378609271,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-FPS,R.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,0.21138854880551175,0.024084599296640988,0.1941594643711234,0.2286176332399001,4.967687587356955e-10,1.987075034942782e-09,8.776917822128498,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-RESI,lcc_ratio.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,0.009776688453159033,0.007328187980760321,0.0045344185728709175,0.015018958333447149,0.0022432237814765154,0.008972895125906061,1.3341208602763863,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-STAT,lcc_ratio.paired_delta,fair,BTC-MAIN-PARTITION-low,wilcoxon,10,0.0038943355119825606,0.002054250780571466,0.002424813029505134,0.005363857994459987,0.0078125,0.015625,1.8957449347538797,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-ASIM,lcc_ratio.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,0.01519607843137255,0.012959071933920494,0.005925716828471908,0.024466440034273194,0.0048588506582291835,0.01457655197468755,1.1726208874261026,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-FPS,lcc_ratio.paired_delta,fair,BTC-MAIN-PARTITION-low,wilcoxon,10,0.20928649237472766,0.1439275949514567,0.10632689336645453,0.3122460913830008,0.0078125,0.015625,1.4541095642243929,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-RESI,avg_path_len.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,-0.9004466224440189,0.08066492425707877,-0.9581508330809207,-0.842742411807117,5.809315285312999e-11,1.7427945855938996e-10,-11.16280255311837,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-STAT,avg_path_len.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,-1.0080588882621813,0.10305323899169279,-1.081778734457534,-0.9343390420668285,1.889812399592334e-10,3.779624799184668e-10,-9.781923383732186,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-ASIM,avg_path_len.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,-1.2518101225695932,0.07808737311524933,-1.3076704641966947,-1.1959497809424917,2.2700776732294492e-12,9.080310692917797e-12,-16.03089043246523,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-FPS,avg_path_len.paired_delta,fair,BTC-MAIN-PARTITION-low,one_sample_t,10,-1.5302927290007025,0.26482184302015305,-1.7197348632570482,-1.3408505947443567,2.010129038125482e-08,2.010129038125482e-08,-5.778574424029843,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-RESI,R.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,0.10240079107710952,0.020587312426803322,0.08767351495722008,0.11712806719699896,7.465158339349274e-08,7.465158339349274e-08,4.97397566783853,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-STAT,R.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,0.10998380323693788,0.01623530709184731,0.0983697641882304,0.12159784228564535,4.94933422017579e-09,1.0832148174061497e-08,6.774359278499089,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-ASIM,R.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,0.15481323205360925,0.02205267775854191,0.13903769672389063,0.17058876738332787,3.6107160580204992e-09,1.0832148174061497e-08,7.020155726605297,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-FPS,R.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,0.21138854880551175,0.024084599296640988,0.1941594643711234,0.2286176332399001,4.967687587356955e-10,1.987075034942782e-09,8.776917822128498,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-RESI,lcc_ratio.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,0.009776688453159033,0.007328187980760321,0.0045344185728709175,0.015018958333447149,0.0022432237814765154,0.008972895125906061,1.3341208602763863,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-STAT,lcc_ratio.paired_delta,raw,BTC-MAIN-PARTITION-low,wilcoxon,10,0.0038943355119825606,0.002054250780571466,0.002424813029505134,0.005363857994459987,0.0078125,0.015625,1.8957449347538797,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-ASIM,lcc_ratio.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,0.016176470588235303,0.012876397584866377,0.006965250651877152,0.025387690524593453,0.0032412146013796545,0.009723643804138964,1.2562885295843536,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-FPS,lcc_ratio.paired_delta,raw,BTC-MAIN-PARTITION-low,wilcoxon,10,0.20928649237472766,0.1439275949514567,0.10632689336645453,0.3122460913830008,0.0078125,0.015625,1.4541095642243929,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-RESI,avg_path_len.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,-0.9004466224440189,0.08066492425707877,-0.9581508330809207,-0.842742411807117,5.809315285312999e-11,1.7427945855938996e-10,-11.16280255311837,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-STAT,avg_path_len.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,-1.0080588882621813,0.10305323899169279,-1.081778734457534,-0.9343390420668285,1.889812399592334e-10,3.779624799184668e-10,-9.781923383732186,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-ASIM,avg_path_len.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,-1.280032420306258,0.11065615961654546,-1.359191068276146,-1.20087377233637,4.224275437744599e-11,1.6897101750978397e-10,-11.567656285397293,cohens_dz
CMP-BTC-MAIN-PARTITION-low-OUR-M-FPS,avg_path_len.paired_delta,raw,BTC-MAIN-PARTITION-low,one_sample_t,10,-1.5302927290007025,0.26482184302015305,-1.7197348632570482,-1.3408505947443567,2.010129038125482e-08,2.010129038125482e-08,-5.778574424029843,cohens_dz
