experiment_id,stat_key,delta_attack_mean,delta_base_mean,delta_attack_net_mean
BTC-MAIN-ECLIPSE-low,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-ECLIPSE-low,peer_count_btc_avg.paired_delta_runs,0.0018518518518519044,0.0,0.0018518518518519044
BTC-MAIN-ECLIPSE-low,block_height_spread.paired_delta_runs,0.0,0.7,-0.7
BTC-MAIN-ECLIPSE-low,topology_edges_directed.paired_delta_runs,0.2,0.0,0.2
BTC-MAIN-ECLIPSE-low,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-ECLIPSE-mid,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-ECLIPSE-mid,peer_count_btc_avg.paired_delta_runs,-0.16759259259259257,0.0,-0.16759259259259257
BTC-MAIN-ECLIPSE-mid,block_height_spread.paired_delta_runs,0.3,0.7,-0.39999999999999997
BTC-MAIN-ECLIPSE-mid,topology_edges_directed.paired_delta_runs,-18.1,0.0,-18.1
BTC-MAIN-ECLIPSE-mid,fork_events_total_seen.paired_delta_runs,0.1,0.0,0.1
BTC-MAIN-ECLIPSE-high,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-ECLIPSE-high,peer_count_btc_avg.paired_delta_runs,0.019444444444444466,0.0,0.019444444444444466
BTC-MAIN-ECLIPSE-high,block_height_spread.paired_delta_runs,0.1,0.7,-0.6
BTC-MAIN-ECLIPSE-high,topology_edges_directed.paired_delta_runs,-10.2,0.0,-10.2
BTC-MAIN-ECLIPSE-high,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-PARTITION-low,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-PARTITION-low,peer_count_btc_avg.paired_delta_runs,-0.1444444444444443,0.0,-0.1444444444444443
BTC-MAIN-PARTITION-low,block_height_spread.paired_delta_runs,-0.1,0.7,-0.7999999999999999
BTC-MAIN-PARTITION-low,topology_edges_directed.paired_delta_runs,-20.4,0.0,-20.4
BTC-MAIN-PARTITION-low,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-PARTITION-mid,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-PARTITION-mid,peer_count_btc_avg.paired_delta_runs,-1.3092592592592591,0.0,-1.3092592592592591
BTC-MAIN-PARTITION-mid,block_height_spread.paired_delta_runs,0.9,0.7,0.20000000000000007
BTC-MAIN-PARTITION-mid,topology_edges_directed.paired_delta_runs,-141.4,0.0,-141.4
BTC-MAIN-PARTITION-mid,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-PARTITION-high,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-PARTITION-high,peer_count_btc_avg.paired_delta_runs,-0.43518518518518495,0.0,-0.43518518518518495
BTC-MAIN-PARTITION-high,block_height_spread.paired_delta_runs,0.3,0.7,-0.39999999999999997
BTC-MAIN-PARTITION-high,topology_edges_directed.paired_delta_runs,-47.0,0.0,-47.0
BTC-MAIN-PARTITION-high,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-low,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-low,peer_count_btc_avg.paired_delta_runs,0.17777777777777787,0.0,0.17777777777777787
BTC-MAIN-NETEM-low,block_height_spread.paired_delta_runs,0.2,0.7,-0.49999999999999994
BTC-MAIN-NETEM-low,topology_edges_directed.paired_delta_runs,19.2,0.0,19.2
BTC-MAIN-NETEM-low,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-mid,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-mid,peer_count_btc_avg.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-mid,block_height_spread.paired_delta_runs,0.3,0.7,-0.39999999999999997
BTC-MAIN-NETEM-mid,topology_edges_directed.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-mid,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-high,reachable_ratio.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-high,peer_count_btc_avg.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-high,block_height_spread.paired_delta_runs,0.0,0.7,-0.7
BTC-MAIN-NETEM-high,topology_edges_directed.paired_delta_runs,0.0,0.0,0.0
BTC-MAIN-NETEM-high,fork_events_total_seen.paired_delta_runs,0.0,0.0,0.0
