comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.06036838578354433,0.04098116151896843,0.03105222887625101,0.08968454269083764,0.001953125,0.00390625,1.4730764952965616,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.08195779076464571,0.03838577224687159,0.05449826349682904,0.10941731803246238,0.001953125,0.00390625,2.135108556304353,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.15726316398459697,0.005430731846908216,0.15337825245343636,0.16114807551575758,1.1195594821389369e-14,4.4782379285557475e-14,28.958005738053313,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.180608233121864,0.009759080624587529,0.1736270074011408,0.1875894588425872,6.255333913914794e-13,1.8766001741744382e-12,18.506685216518278,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.0018867924528301883,0.00397770774863947,-0.0009586882550920812,0.004732273160752458,0.5,1.0,0.4743416490252569,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.0028301886792452824,0.004557036712638188,-0.00042971900390230064,0.006090096362392865,0.25,0.75,0.6210590034081187,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,-0.673597000483793,0.007090369727584982,-0.6786691454343062,-0.6685248555332798,2.553361524223916e-19,7.660084572671747e-19,-95.00167499914335,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,-0.6708576957633562,0.007010746374887657,-0.6758728815986409,-0.6658425099280715,0.001953125,0.00390625,-95.68991087259326,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,-0.6718059299191375,0.009550406353302432,-0.6786378790587985,-0.6649739807794764,0.001953125,0.00390625,-70.3431775640451,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,-0.6704399060059437,0.004760492263676489,-0.6738453570225846,-0.6670344549893028,7.386152669290762e-21,2.954461067716305e-20,-140.83415514011747,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.04932625576695181,0.02178283638231376,0.033743753329234606,0.064908758204669,5.3035694007027624e-05,5.3035694007027624e-05,2.264455138037097,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.062221506419490334,0.015545174422694699,0.05110115854169714,0.07334185429728353,4.882314320323886e-07,9.764628640647771e-07,4.0026251702040705,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.1567331393366503,0.004722952480055518,0.15335454266347132,0.1601117360098293,3.2877149405504267e-15,1.3150859762201707e-14,33.185415266936566,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.180608233121864,0.009759080624587529,0.1736270074011408,0.1875894588425872,6.255333913914794e-13,1.8766001741744382e-12,18.506685216518278,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,0.0028301886792452824,0.004557036712638188,-0.00042971900390230064,0.006090096362392865,0.25,0.75,0.6210590034081187,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,-0.6753500587462853,0.0057006748862053576,-0.6794280758948258,-0.6712720415977448,3.502135041604617e-20,1.0506405124813852e-19,-118.46843965448987,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,-0.6716663211002833,0.006566112255639308,-0.6763634348477335,-0.6669692073528332,0.001953125,0.00390625,-102.29284772331184,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,10,-0.6711051212938005,0.008448849112658157,-0.6771490638540446,-0.6650611787335564,0.001953125,0.00390625,-79.43154296463214,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,10,-0.6704399060059437,0.004760492263676489,-0.6738453570225846,-0.6670344549893028,7.386152669290762e-21,2.954461067716305e-20,-140.83415514011747,cohens_dz_paired
