comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-LINK-high-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-LINK-high,one_sample_t_delta_vs_0,10,0.06024279743065504,0.015208593806896615,0.049363224820788865,0.07112237004052122,5.338182538556651e-07,1.0676365077113301e-06,3.9611024001007142,cohens_dz_paired
CMP-ED-MAIN-LINK-high-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-LINK-high,one_sample_t_delta_vs_0,10,0.07375518965208364,0.01619331656790261,0.062171188814665324,0.08533919048950195,1.6042940581669805e-07,4.812882174500941e-07,4.554668547533778,cohens_dz_paired
CMP-ED-MAIN-LINK-high-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-LINK-high,one_sample_t_delta_vs_0,10,0.1728981279209373,0.00657405700288728,0.16819533084367708,0.17760092499819755,2.6604137018442717e-14,1.0641654807377087e-13,26.30006521771893,cohens_dz_paired
CMP-ED-MAIN-LINK-high-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-LINK-high,wilcoxon_signed_rank_delta_vs_0,10,0.18783854979958126,0.013230649055676138,0.17837391362712907,0.19730318597203345,0.001953125,0.001953125,14.197228647599553,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-high-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-LINK-high-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-high,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-high-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-LINK-high-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-high,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-high-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-LINK-high,one_sample_t_delta_vs_0,10,-0.68544474393531,0.008136125641511026,-0.6912649776008098,-0.6796245102698101,7.527526994420217e-19,3.0110107977680867e-18,-84.2470696910244,cohens_dz_paired
CMP-ED-MAIN-LINK-high-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-LINK-high,wilcoxon_signed_rank_delta_vs_0,10,-0.6794439836892667,0.008193370648603853,-0.6853051679659229,-0.6735827994126106,0.001953125,0.005859375,-82.92606459895033,cohens_dz_descriptive_under_non_normal
