comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-LINK-low-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,0.06180172782980653,0.016957781978608807,0.049670861381463836,0.07393259427814922,1.0855459192348878e-06,1.9501875606270104e-06,3.644446420396582,cohens_dz_paired
CMP-ED-MAIN-LINK-low-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,0.0771705015241544,0.020908766185129785,0.062213271238295904,0.09212773181001291,9.750937803135052e-07,1.9501875606270104e-06,3.690820435834119,cohens_dz_paired
CMP-ED-MAIN-LINK-low-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,0.1719406386617554,0.008577850254110009,0.1658044142440956,0.17807686307941523,3.05418175215249e-13,1.221672700860996e-12,20.044723744083946,cohens_dz_paired
CMP-ED-MAIN-LINK-low-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,0.19569870549537177,0.011017995832221602,0.18781690608683604,0.2035805049039075,9.045682599916325e-13,2.7137047799748976e-12,17.761733483603276,cohens_dz_paired
CMP-ED-MAIN-LINK-low-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-low,wilcoxon_signed_rank_delta_vs_0,10,0.0018867924528301883,0.00397770774863947,-0.0009586882550920812,0.004732273160752458,0.5,1.0,0.4743416490252569,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-low-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-low,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-low-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-LINK-low-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-low,wilcoxon_signed_rank_delta_vs_0,10,0.0028301886792452824,0.004557036712638188,-0.00042971900390230064,0.006090096362392865,0.25,0.75,0.6210590034081187,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-low-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,-0.6866566452415509,0.010608503753887971,-0.6942455116639104,-0.6790677788191914,8.067143378041259e-18,2.4201430134123776e-17,-64.72700214579216,cohens_dz_paired
CMP-ED-MAIN-LINK-low-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-LINK-low,one_sample_t_delta_vs_0,10,-0.6851420277835372,0.010792722044652828,-0.6928626760324014,-0.677421379534673,9.607879562530782e-18,2.4201430134123776e-17,-63.481856101629674,cohens_dz_paired
