comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon_signed_rank_delta_vs_0,10,0.08563741396585103,0.04500862328668985,0.053440184469485376,0.1178346434622167,0.001953125,0.00390625,1.9026890340628595,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon_signed_rank_delta_vs_0,10,0.09594703546292056,0.038504699869768746,0.06840243249875375,0.12349163842708738,0.001953125,0.00390625,2.491826602659786,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t_delta_vs_0,10,0.17748122747244255,0.011592864822545217,0.16918819156165044,0.18577426338323466,3.4308889758944556e-12,1.3723555903577823e-11,15.309522727055873,cohens_dz_paired
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t_delta_vs_0,10,0.1891599408339531,0.01749846854412293,0.1766422905170043,0.2016775911509019,7.74064489016075e-11,2.3221934670482253e-10,10.81008548588012,cohens_dz_paired
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon_signed_rank_delta_vs_0,10,0.0028301886792452824,0.004557036712638188,-0.00042971900390230064,0.006090096362392865,0.25,0.5,0.6210590034081187,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon_signed_rank_delta_vs_0,10,0.0037735849056603765,0.004871677165040775,0.0002885970019888685,0.007258572809331884,0.125,0.375,0.7745966692414834,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t_delta_vs_0,10,-0.6928422835026609,0.00994558062404397,-0.6999569232859587,-0.685727643719363,4.1639278544760386e-18,1.6655711417904154e-17,-69.66333185492236,cohens_dz_paired
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t_delta_vs_0,10,-0.6937846430299262,0.012278643996716415,-0.7025682558089325,-0.6850010302509199,2.7396910398844814e-17,5.479382079768963e-17,-56.503360079130864,cohens_dz_paired
