comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-NETEM-high-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,0.055956199064205625,0.02186235956647312,0.040316809167515254,0.07159558896089599,0.001953125,0.00390625,2.559476660973818,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-high-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.06465190346455214,0.01742712248343769,0.05218529104482835,0.07711851588427593,9.334254622949464e-07,2.800276386884839e-06,3.7098438669950093,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.16261591042983237,0.007356884483068717,0.15735311230844073,0.167878708551224,1.2687591869872366e-13,5.075036747948947e-13,22.10390971940363,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,0.18766030174434975,0.006242273961510045,0.18319484795702268,0.19212575553167682,0.001953125,0.00390625,30.062810908567293,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-high-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-high-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,-0.6791374663072777,0.009876189806126355,-0.6862024668897673,-0.6720724657247881,4.679703661345948e-18,1.4039110984037844e-17,-68.76512902637798,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,-0.6753998203054807,0.00994425133209141,-0.6825135091706003,-0.6682861314403612,5.231480311862044e-18,1.4039110984037844e-17,-67.91861928568484,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,-0.6720754716981132,0.008762941002901446,-0.6783441020611523,-0.6658068413350742,1.7526112457156873e-18,7.010444982862749e-18,-76.69519530892497,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,-0.6719673094201396,0.010864160401628473,-0.6797390615910176,-0.6641955572492616,0.001953125,0.001953125,-61.85174781839706,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-high-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.05840481726130605,0.020785715479931636,0.043535612147195604,0.0732740223754165,9.479386758551204e-06,1.8958773517102408e-05,2.809853589966399,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.06665982198228483,0.017486855133390853,0.05415047939890512,0.07916916456566454,7.407796664609456e-07,2.222338999382837e-06,3.811996009219464,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.16413709263202886,0.006799145915645924,0.15927327664656932,0.1690009086174884,5.745896661504945e-14,2.298358664601978e-13,24.140839844946278,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,0.18766030174434975,0.006242273961510045,0.18319484795702268,0.19212575553167682,0.001953125,0.001953125,30.062810908567293,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-high-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-high-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,-0.6783827493261455,0.010190015510195471,-0.685672247293312,-0.671093251358979,6.263405484905131e-18,1.7131329516345664e-17,-66.57327936816186,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,-0.6750943396226414,0.01003699300987777,-0.6822743718874368,-0.6679143073578461,5.7104431721152214e-18,1.7131329516345664e-17,-67.26061669648037,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-high,one_sample_t_delta_vs_0,10,-0.6720575022461815,0.008723773592398934,-0.6782981139316286,-0.6658168905607345,1.6837708797906377e-18,6.735083519162551e-18,-77.03747640032158,cohens_dz_paired
CMP-ED-MAIN-NETEM-high-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-high,wilcoxon_signed_rank_delta_vs_0,10,-0.6719673094201396,0.010864160401628473,-0.6797390615910176,-0.6641955572492616,0.001953125,0.001953125,-61.85174781839706,cohens_dz_descriptive_under_non_normal
