comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-NETEM-low-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,0.05626764071932461,0.04304334038306893,0.025476289920250254,0.08705899151839896,0.001953125,0.00390625,1.3072322040660544,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-low-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,0.07787255792826236,0.0446378805728892,0.04594054179255231,0.10980457406397243,0.001953125,0.00390625,1.7445397704558185,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-low-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.16733175522819757,0.009278793095307278,0.16069410650839658,0.17396940394799856,7.891852370463984e-13,2.3675557111391954e-12,18.033784513723567,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.19337991545494,0.009315048821309043,0.18671633095116266,0.2000434999587173,2.2290940734314149e-13,8.916376293725659e-13,20.759946530024127,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,-0.6996945193171606,0.005239498324988589,-0.7034426306277629,-0.6959464080065584,1.1918244073045856e-20,4.7672976292183425e-20,-133.54227369061798,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,-0.696388140161725,0.0075889827064142545,-0.7018169713500504,-0.6909593089733996,3.488756989718434e-19,1.0466270969155302e-18,-91.76304217601306,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,-0.6922551662174304,0.007731831032459935,-0.6977861849422989,-0.6867241474925619,0.001953125,0.00390625,-89.53314723397217,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-low-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,-0.6998203054806829,0.006439680419702867,-0.7044269753411614,-0.6952136356202043,0.001953125,0.00390625,-108.67314212356104,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-low-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,0.04641594193382485,0.015959232792255418,0.034999394541891445,0.05783248932575826,0.001953125,0.001953125,2.908406847498913,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-low-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.06841103244406377,0.02803991861380329,0.0483524830208242,0.08846958186730333,2.95336845120596e-05,5.90673690241192e-05,2.4397728604813738,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.1663473119542816,0.007175120496329192,0.16121453995606083,0.17148008395250236,8.264547497275877e-14,3.305818998910351e-13,23.18390500053417,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.19337991545494,0.009315048821309043,0.18671633095116266,0.2000434999587173,2.2290940734314149e-13,6.687282220294245e-13,20.759946530024127,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,-0.6994788858939802,0.004803967916000254,-0.7029154375187525,-0.6960423342692079,5.472991937765217e-21,2.1891967751060867e-20,-145.6044041352301,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-low,one_sample_t_delta_vs_0,10,-0.6960646900269543,0.0070099802131753436,-0.701079327783167,-0.6910500522707416,1.715194450039201e-19,5.145583350117603e-19,-99.29624176665894,cohens_dz_paired
CMP-ED-MAIN-NETEM-low-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,-0.6918778077268645,0.00692493864052988,-0.6968316104067906,-0.6869240050469383,0.001953125,0.00390625,-99.91103800941745,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-low-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-low,wilcoxon_signed_rank_delta_vs_0,10,-0.6998203054806829,0.006439680419702867,-0.7044269753411614,-0.6952136356202043,0.001953125,0.00390625,-108.67314212356104,cohens_dz_descriptive_under_non_normal
