comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon_signed_rank_delta_vs_0,10,0.06089990691280708,0.022834150324083376,0.04456533978650175,0.0772344740391124,0.001953125,0.001953125,2.6670537790309377,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0793024571877419,0.019425316535290563,0.06540642285355565,0.09319849152192815,4.122190599146404e-07,8.244381198292808e-07,4.082428054321314,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.16413500145526355,0.010509148344766938,0.15661720961096434,0.17165279329956276,2.868299508878205e-12,8.604898526634615e-12,15.618297132230992,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.18799474567184588,0.006830761052678655,0.18310831357977675,0.192881177763915,1.7687704850371698e-14,7.075081940148679e-14,27.521786258080937,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon_signed_rank_delta_vs_0,10,0.0018867924528301883,0.00397770774863947,-0.0009586882550920812,0.004732273160752458,0.5,0.5,0.4743416490252569,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6824797843665767,0.005886500390186729,-0.6866907330726958,-0.6782688356604577,4.2526373510112506e-20,1.7010549404045002e-19,-115.93981808008127,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6784546271338725,0.010011850179910273,-0.6856166733016149,-0.6712925809661301,5.339055814475188e-18,1.0678111628950376e-17,-67.76515977988325,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6761185983827493,0.008407194573821388,-0.6821327430809716,-0.6701044536845271,1.1436089968438169e-18,3.4308269905314506e-18,-80.42142862829306,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6780696661828738,0.010122446495278164,-0.6853108281885896,-0.670828504177158,5.924000466985603e-18,1.0678111628950376e-17,-66.98673749465351,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.06301757777455799,0.020851218264386833,0.048101514791227214,0.07793364075788878,5.209841960570457e-06,5.209841960570457e-06,3.022249202685191,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.07883985489485099,0.01740285425714132,0.06639060291840396,0.09128910687129801,1.6806189107135486e-07,3.3612378214270973e-07,4.530283005875245,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.16478425788024081,0.009947488926439258,0.1576682529796458,0.17190026278083584,1.691347969807488e-12,5.0740439094224635e-12,16.565412547709766,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.18799474567184588,0.006830761052678655,0.18310831357977675,0.192881177763915,1.7687704850371698e-14,7.075081940148679e-14,27.521786258080937,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon_signed_rank_delta_vs_0,10,0.0018867924528301883,0.00397770774863947,-0.0009586882550920812,0.004732273160752458,0.5,0.5,0.4743416490252569,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6824258760107815,0.005882262876376997,-0.6866337933821327,-0.6782179586394304,4.228170789134748e-20,1.6912683156538992e-19,-116.01417521671544,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6777717879604672,0.009701581195202438,-0.6847118810672904,-0.670831694853644,4.0585842217911265e-18,8.117168443582253e-18,-69.8619920117387,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6761904761904762,0.008441605750717288,-0.6822292371617336,-0.6701517152192189,1.1852931759808446e-18,3.555879527942534e-18,-80.10211518501914,cohens_dz_paired
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t_delta_vs_0,10,-0.6780696661828738,0.010122446495278164,-0.6853108281885896,-0.670828504177158,5.924000466985603e-18,8.117168443582253e-18,-66.98673749465351,cohens_dz_paired
