comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t,10,-0.01887472356719766,0.015370560887070426,-0.02987016044640607,-0.007879286687989246,0.003713184111154283,0.014852736444617131,-1.227978842533645,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t,10,-0.021357119964345805,0.017867803135089576,-0.03413897633155642,-0.008575263597135185,0.004350194802814878,0.014852736444617131,-1.1952851619684435,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t,10,0.015736150129927927,0.013072007179795751,0.006384999518962922,0.02508730074089293,0.004173784440169523,0.014852736444617131,1.203805193302671,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,0.021374085811682143,0.017809751779654555,0.008633756882482923,0.034114414740881366,0.02734375,0.02734375,1.2001338410622544,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,-0.09993157785610618,0.06909749880954001,-0.1493609508148104,-0.05050220489740196,0.015625,0.046875,-1.4462401617684753,cohens_dz
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon,10,-0.09960709102218537,0.06899534470380098,-0.1489633873358759,-0.05025079470849483,0.01953125,0.046875,-1.4436784314913058,cohens_dz
