comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t,10,-0.027683716588134556,0.012739823748751886,-0.036797237487653296,-0.018570195688615815,7.294337188826955e-05,0.0001458867437765391,-2.1730062467188147,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t,10,-0.03783719838771874,0.010750637832393243,-0.04552774140471075,-0.03014665537072674,1.4582603856532905e-06,4.374781156959871e-06,-3.5195305597319755,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t,10,0.025259179581537616,0.005626463878435974,0.02123424978990395,0.02928410937317128,1.817926857544699e-07,7.271707430178796e-07,4.4893524827105225,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon,10,0.03373285036728384,0.0026042987455873945,0.031869847274417155,0.03559585346015052,0.001953125,0.001953125,12.952757599119243,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t,10,-0.14280323450134771,0.0014074158906195752,-0.14381003917827528,-0.14179642982442014,1.4121316103919511e-19,5.648526441567805e-19,-101.46484450909718,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t,10,-0.142911051212938,0.0015597695897103115,-0.1440268431606603,-0.14179525926521572,3.536975751465157e-19,1.061092725439547e-18,-91.62318085678295,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-LINK-mid,one_sample_t,10,-0.14539083557951488,0.0017737344930671118,-0.1466596887984888,-0.14412198236054094,9.633787759632353e-19,1.9267575519264705e-18,-81.96877049400302,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-LINK-mid,wilcoxon,10,-0.14695417789757417,0.0011005627148588672,-0.1477414730361023,-0.14616688275904605,0.001953125,0.001953125,-133.52640055266556,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-LINK-mid,one_sample_t,10,-0.025526754587837243,0.01577960062895112,-0.03681480087121647,-0.014238708304458014,0.0006316838255888012,0.0012633676511776023,-1.6177059982749398,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-LINK-mid,one_sample_t,10,-0.03512953634448997,0.009157763595588916,-0.04168060577584124,-0.028578466913138693,7.021185978407701e-07,2.1063557935223105e-06,-3.8360387858680975,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-LINK-mid,one_sample_t,10,0.025703946829070613,0.005458497172550295,0.02179917318046541,0.029608720477675814,1.2017824626661693e-07,4.807129850664677e-07,4.708978683424201,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-LINK-mid,wilcoxon,10,0.03373285036728384,0.0026042987455873945,0.031869847274417155,0.03559585346015052,0.001953125,0.001953125,12.952757599119243,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-LINK-mid,constant_delta,10,0.0,0.0,nan,nan,,,,
CMP-ED-MAIN-LINK-mid-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-LINK-mid,one_sample_t,10,-0.14287511230907457,0.0014535646539360315,-0.14391492982254256,-0.14183529479560658,1.8793395704681558e-19,7.517358281872623e-19,-98.2929186687297,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-LINK-mid,one_sample_t,10,-0.14282120395327944,0.001561493791117074,-0.14393822932038536,-0.1417041785861735,3.5925916256664004e-19,1.0777774876999201e-18,-91.46447124269822,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-LINK-mid,one_sample_t,10,-0.14549865229110517,0.0018188738855367333,-0.14679979628621356,-0.14419750829599678,1.1998128816976344e-18,2.399625763395269e-18,-79.99381015257681,cohens_dz
CMP-ED-MAIN-LINK-mid-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-LINK-mid,wilcoxon,10,-0.14695417789757417,0.0011005627148588672,-0.1477414730361023,-0.14616688275904605,0.001953125,0.001953125,-133.52640055266556,cohens_dz
