comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t,10,-0.01953082657068401,0.01547220488206432,-0.030598975183661756,-0.008462677957706267,0.003149176830985265,0.01259670732394106,-1.2623169560871395,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-NETEM-mid,one_sample_t,10,-0.020061052920587075,0.01863995293161083,-0.03339527197718302,-0.006726833863991132,0.0078314333150928,0.0234942999452784,-1.076239462309277,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,0.019857906492690102,0.011160924763655402,0.011873861885990203,0.02784195109939,0.009765625,0.0234942999452784,1.7792348674686598,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,0.027093658491733907,0.015554000409619477,0.015966996883242067,0.038220320100225746,0.009765625,0.0234942999452784,1.741909333818562,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11318093855829703,0.05978708038769721,-0.15595003940145952,-0.07041183771513454,0.009765625,0.03125,-1.89306682688568,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11299778837514685,0.05999118384981534,-0.15591289603946806,-0.07008268071082563,0.009765625,0.03125,-1.8835732373281824,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11483896606538113,0.060610901596800125,-0.1581973930997605,-0.07148053903100177,0.0078125,0.03125,-1.8946915990347832,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11622399612965648,0.06144358162811359,-0.1601780865748998,-0.07226990568441316,0.0078125,0.03125,-1.8915563359099177,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,-0.023272673157810154,0.0075673482869128604,-0.028686028014738546,-0.017859318300881763,0.001953125,0.005859375,-3.075406638552428,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-NETEM-mid,one_sample_t,10,-0.028668501453251984,0.010918260386073297,-0.03647895442161545,-0.020858048484888515,1.6422189846391682e-05,6.568875938556673e-05,-2.625738940043953,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,0.018951754606635007,0.012222647596001978,0.010208199239589249,0.027695309973680766,0.009765625,0.01953125,1.5505441401120095,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,0.026607470709871083,0.016506816630394088,0.014799205437727255,0.03841573598201491,0.009765625,0.01953125,1.6119080562680153,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,0.0009433962264150941,0.0029832808114796023,-0.0011907143045266078,0.003077506757356796,1.0,1.0,0.31622776601683794,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11221024258760108,0.0616008967422768,-0.1562768694861746,-0.06814361568902755,0.009765625,0.0390625,-1.8215683297121712,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11217430368373763,0.061583870102092333,-0.1562287504576697,-0.06811985690980553,0.009765625,0.0390625,-1.821488378333119,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11463888312944914,0.060844099867344986,-0.1581641301571232,-0.0711136361017751,0.009765625,0.0390625,-1.884141328072729,cohens_dz
CMP-ED-MAIN-NETEM-mid-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-NETEM-mid,wilcoxon,10,-0.11618736609302645,0.061520750093540855,-0.16019665953293633,-0.07217807265311658,0.009765625,0.0390625,-1.8885882554482234,cohens_dz
